ds,family,y,yhat,yhat_upper,yhat_lower
2013-01-01T00:00:00.000Z,DRINK,810.0,1742.1615114598494,33241.971696977285,-33818.865721997296
2013-01-02T00:00:00.000Z,DRINK,72092.0,57990.36665749962,92350.27074401116,23187.161236588367
2013-01-03T00:00:00.000Z,DRINK,52105.0,49131.577577495555,85142.32288604614,12776.980526362631
2013-01-04T00:00:00.000Z,DRINK,54167.0,55177.54296901254,89010.9357926083,19943.25907072837
2013-01-05T00:00:00.000Z,DRINK,77818.0,77827.20371939187,115093.7228554744,42742.34361975726
2013-01-06T00:00:00.000Z,DRINK,86184.0,82832.18302030783,118299.60288545533,46381.50893381069
2013-01-07T00:00:00.000Z,DRINK,51619.0,58565.15097708638,93403.18674363132,24511.409754935583
2013-01-08T00:00:00.000Z,DRINK,46941.0,53188.515711418,86664.83409751685,18145.799246389957
2013-01-09T00:00:00.000Z,DRINK,47910.0,53360.56340814252,89941.52300047339,17528.925926210097
2013-01-10T00:00:00.000Z,DRINK,42390.0,48164.25857922202,82643.28856482895,12810.421380801106
2013-01-11T00:00:00.000Z,DRINK,50793.0,53997.857155417005,87639.08708879998,18478.063002262876
2013-01-12T00:00:00.000Z,DRINK,72754.0,72767.1911199278,107850.76333827854,36890.91135372732
2013-01-13T00:00:00.000Z,DRINK,82854.0,81473.31621214417,113851.29791233716,48097.41338779524
2013-01-14T00:00:00.000Z,DRINK,50195.0,56709.42180543831,89687.82116067753,24122.76879226543
2013-01-15T00:00:00.000Z,DRINK,46604.0,52608.95019530367,87865.60551729164,18352.363637109902
2013-01-16T00:00:00.000Z,DRINK,49122.0,57035.61512593615,90650.6351752491,22760.983143906073
2013-01-17T00:00:00.000Z,DRINK,41646.0,49757.38642156243,83704.70551094097,12528.054327374864
2013-01-18T00:00:00.000Z,DRINK,50245.0,51380.776534055556,87697.63332633908,15569.819834051452
2013-01-19T00:00:00.000Z,DRINK,77014.0,70495.57517286132,105601.93271110293,34455.879934877565
2013-01-20T00:00:00.000Z,DRINK,83841.0,78876.6208507709,117114.84844917111,42975.31868283762
